,Model,Persona,Type,Distinct Words,Top KL Divergent Words,Top TF-IDF Words
0,Bing,Activist Egalitarians,vote,"join, politicians, outlets, undemocratic4, segments, events5, learn, investment1, backlash, listening, background, tanks, face2, decisions3","aligns, voice, social, likely, concerns, address, proposal, value, campaign, potential","background, tanks, join, people, aboriginal, torres, strait, islander, want, voice"
1,Bing,Activist Egalitarians,yes-campaign,"racism, megan, wellbeing, mills, recruit, fields, donating, over-incarceration, emphasising, krakouer, networks, academics, perth, involved, events, patty, feel, attending, third, word, keen, adam, artists, featuring, sectors, ngos, chamber, misinformation, mind, spreading, faith, petitions, discrimination, athletes, loses, fearmongering, racists, unions","effectively, social, target, national, create, voice, vote, support, change, system","strait, well, aboriginal, one, islander, torres, activist, spreading, campaign, voice"
2,Bing,Activist Egalitarians,no-campaign,"symbolic, problems, race, genocide, dissatisfaction, flaws, pushing, undemocratic, dispossession, distrust, colonisation, necessity, clarity, elites, exposing, discouraging","highlight, social, government, national, parliament, create, voice, support, vote, system","strategy, aboriginal, strait, one, torres, islander, despite, elites, campaign, voice"
3,Bing,Prudent Traditionalists,vote,"agree, career-oriented, deliver, quickly, luxury, radical, spenders, promises, appeasement, weakness, world, unimpressed, reasons","stability, approaches, system, value, traditionalist, prudent, indigenous, political, social, parliament","quickly, appeasement, world, agree, people, parliament, believe, work, reasons, voice"
4,Bing,Prudent Traditionalists,yes-campaign,"thousands, high, zealand, proven, years, assures, efficient, incarceration, unique, disparity, canada, sbs, across, culture, adopted","policies, create, emphasize, voice, highlight, stability, community, indigenous, prudent, traditionalist","years, national, effectively, indigenous, key, campaign, published, pamphlets, arguments, voice"
5,Bing,Prudent Traditionalists,no-campaign,"function, warns, resentment, interfere, demands, veto, race-based, services, merge, roll, adding, electoral","voice, stability, community, emphasize, political, indigenous, highlight, vote, traditionalist, prudent","demands, adding, indigenous, australians, referendum, create, sovereignty, campaign, race-based, voice"
6,ChatGPT 3.5,Activist Egalitarians,vote,"interactions, various, even, disproportionately, sides, allocate, assessment, ideological, particular, remember, debate","share, impact, value, australians, policies, representation, create, indigenous, provide, process","potential, aligns, concerns, action, emphasis, climate, issues, proposal, particular, broader"
7,ChatGPT 3.5,Activist Egalitarians,yes-campaign,"camaraderie, responses, rectifying, entrepreneurs, mention, compelling, facilitate, bear, illustrate, distribution, growth, real-world, brunt, link, enable, experienced, spending, fairer, alleviate, stronger, tangible, core, often","emphasize, promote, australians, support, equality, greater, justice, parliament, value, campaign","highlight, contribute, community, impact, stories, concerns, inclusion, parliament, indigenous, voice"
8,ChatGPT 3.5,Activist Egalitarians,no-campaign,"complicate, unequal, arise, streamlined, recovery, instances, tackling, unified, pursued, made, necessitating, everyone, efforts, practical, confusion","activist, australians, action, system, society, campaign, value, emphasize, potential, aligns","address, body, create, explain, advisory, national, unity, separate, current, concerns"
9,ChatGPT 3.5,Prudent Traditionalists,vote,"financial, perceive, indicates, stem, population, depend, prudence, significant, percent, weigh, seem, consideration, sufficient, whereas, lean, nearly, conservatism, ambitious, mixed, research","parliament, vote, concerns, national, social, potential, traditionalist, prudent, importance, impact","prioritize, safety, likely, value, age, cautious, societal, stability, decisions, approaches"
